t,p
376.381973,1334.381256
377.384457,1334.37973
378.386732,1334.379425
379.389112,1334.377899
380.391378,1334.376831
381.393922,1334.376221
382.396245,1334.375916
383.398527,1334.374695
384.399585,1334.373322
385.401415,1334.372864
386.403814,1334.369812
387.406088,1334.368439
388.40839,1334.368439
389.410708,1334.368744
390.412989,1334.368896
391.415496,1334.371643
392.417804,1334.371948
393.419401,1334.373779
394.421014,1334.374084
395.423346,1334.375458
396.425683,1334.375458
397.428166,1334.375458
398.430596,1334.374084
399.432902,1334.374084
400.435353,1334.372864
401.437617,1334.372864
402.439289,1334.372864
403.440917,1334.369965
404.443318,1334.369049
405.445583,1334.365387
406.448486,1334.361725
407.450462,1334.360199
408.452727,1334.358368
409.455053,1334.358368
410.457522,1337.619019
411.459119,1346.900787
412.460613,1356.39328
413.462832,1365.913239
414.465269,1375.434113
415.467867,1382.520905
416.470108,1383.063507
417.472735,1383.110809
418.474988,1383.118134
419.477404,1383.119659
420.47937,1383.123169
421.481185,1383.123474
422.483687,1383.124542
423.485944,1383.12561
424.488466,1383.127136
425.490797,1383.128052
426.493218,1383.128967
427.495782,1383.129883
428.497967,1383.130341
429.499474,1383.129883
430.501393,1383.128967
431.503749,1383.128815
432.506079,1383.127441
433.508568,1383.127289
434.510894,1383.127289
435.513391,1383.127289
436.515633,1383.127747
437.51793,1383.128357
438.519522,1383.128357
439.521978,1383.126831
440.523935,1383.126373
441.5262,1383.125916
442.528587,1383.126373
443.531067,1383.126526
444.533315,1383.127289
445.535873,1383.130341
446.538086,1383.135071
447.539452,1383.138123
448.541293,1383.140411
449.543573,1383.140411
450.546445,1383.139038
451.548194,1383.135529
452.550684,1383.134613
453.552946,1383.13324
454.555355,1383.132477
455.557689,1383.130798
456.559387,1383.130798
457.561246,1383.130798
458.563474,1383.130798
459.56584,1383.132172
460.568166,1383.135529
461.570393,1383.138733
462.572737,1383.138733
463.575333,1383.13858
464.577651,1383.136749
465.57917,1383.133392
466.581046,1383.132324
467.583311,1383.130035
468.585827,1383.128815
469.58809,1383.128815
470.590572,1383.130646
471.593046,1383.130951
472.595309,1383.131409
473.597862,1383.13324
474.599258,1383.188629
475.601401,1386.012726
476.603772,1393.16391
477.606293,1402.537994
478.608639,1412.033691
479.611047,1421.543732
480.613324,1428.756104
481.615902,1431.594849
482.618356,1431.847534
483.619551,1431.87973
484.621783,1431.884613
485.624234,1431.886597
486.626817,1431.886597
487.629054,1431.886597
488.631367,1431.888733
489.633668,1431.892853
490.635973,1431.897278
491.638546,1431.90094
492.639649,1431.904449
493.641541,1431.905365
494.643952,1431.908417
495.646286,1431.909637
496.649146,1431.911469
497.651036,1431.911926
498.65344,1431.911926
499.655819,1431.908569
500.658087,1431.904907
501.659629,1431.904907
502.661825,1431.907654
503.664238,1431.908875
504.666566,1431.911163
505.668869,1431.915436
506.671334,1431.91803
507.673548,1431.919403
508.676032,1431.919708
509.678371,1431.919708
510.679604,1431.916962
511.681798,1431.915741
512.684142,1431.913605
513.686646,1431.911469
514.688974,1431.910553
515.691405,1431.910553
516.694192,1431.910553
517.696079,1431.911926
518.698374,1431.914673
519.70015,1431.917725
520.702473,1431.918945
521.704762,1431.920166
522.707181,1431.923523
523.709488,1431.923523
524.711952,1431.923676
525.714465,1431.924286
526.716817,1431.924286
527.718933,1431.922607
528.719824,1431.921997
529.722115,1431.921997
530.724392,1432.119446
531.726731,1432.212677
532.729212,1432.296295
533.731678,1432.370453
